DATE	TIME	OPEN	HIGH	LOW	CLOSE	TICKVOL	SPREAD
2023.06.28	07:00:00	1.0950199999999999	1.09528	1.09458	1.09479	1368	1.90449160908189
2023.06.28	08:00:00	1.0948	1.09541	1.09461	1.09526	1622	1.9146705346042558
2023.06.28	09:00:00	1.09527	1.09541	1.09353	1.09373	2999	1.9094413665743848
2023.06.28	10:00:00	1.09374	1.09562	1.09374	1.0952	3997	1.917899675207487
2023.06.28	11:00:00	1.0952	1.09598	1.09447	1.09522	4354	1.9175769612710818
2023.06.28	12:00:00	1.09521	1.09583	1.09436	1.09467	3452	1.9185515667150757
2023.06.28	13:00:00	1.09467	1.09615	1.09447	1.09536	3222	1.929606440071459
2023.06.28	14:00:00	1.09536	1.09549	1.09368	1.09397	3618	1.9165339032446398
2023.06.28	15:00:00	1.09397	1.09438	1.09253	1.09269	4625	1.9112246502122283
2023.06.28	16:00:00	1.0927	1.09436	1.09231	1.09341	6802	1.8797228537404045
2023.06.28	17:00:00	1.09341	1.09361	1.08961	1.08978	7786	1.8882070949184628
2023.06.28	18:00:00	1.08977	1.09164	1.08972	1.09028	4726	1.8874408667785705
2023.06.28	19:00:00	1.09027	1.09177	1.09023	1.09101	2715	1.9057749999999796
2023.06.28	20:00:00	1.09101	1.0917	1.09093	1.09141	2232	1.9185820468838566
2023.06.28	21:00:00	1.09142	1.09231	1.09142	1.09216	2173	1.8862208713272808
2023.06.28	22:00:00	1.09217	1.09217	1.09131	1.09152	1843	1.907787810383679
2023.06.28	23:00:00	1.09152	1.09162	1.09106	1.09121	530	1.904844061048347
2023.06.29	00:00:00	1.09119	1.09134	1.09112	1.09126	84	5.968345323741033
2023.06.29	01:00:00	1.09125	1.09145	1.09118	1.09131	236	2.0161949685535614
2023.06.29	02:00:00	1.09131	1.09181	1.09131	1.09145	641	1.867213114753899
2023.06.29	03:00:00	1.09144	1.09155	1.09005	1.09061	1899	1.8978797358358406
2023.06.29	04:00:00	1.09062	1.09137	1.0905	1.09056	2599	1.8718006795016482
2023.06.29	05:00:00	1.09055	1.09057	1.08924	1.08928	2339	1.882707423580725
2023.06.29	06:00:00	1.08927	1.08951	1.08898	1.08923	1906	1.860825118656338
2023.06.29	07:00:00	1.08924	1.08926	1.08802	1.08846	1719	1.8652139144341706
2023.06.29	08:00:00	1.08846	1.08937	1.08833	1.08934	2910	1.8647248388695343
2023.06.29	09:00:00	1.08934	1.08995	1.08891	1.08967	3773	1.8861219702892866
2023.06.29	10:00:00	1.0897000000000001	1.09199	1.0897000000000001	1.0916	5131	2.142899744390794
2023.06.29	11:00:00	1.09157	1.0921	1.09099	1.09137	3743	1.9024112919035208
2023.06.29	12:00:00	1.09138	1.09185	1.09108	1.09161	2567	1.9000817438692026
2023.06.29	13:00:00	1.0916	1.09271	1.09156	1.09269	2891	1.880623721881364
2023.06.29	14:00:00	1.09269	1.09389	1.09251	1.09381	2889	1.8850379283285947
2023.06.29	15:00:00	1.0937999999999999	1.09406	1.0872600000000001	1.08801	7715	1.8978646976651241
2023.06.29	16:00:00	1.08803	1.08844	1.08594	1.08681	7429	1.8864060150375888
2023.06.29	17:00:00	1.08681	1.08933	1.08681	1.08888	7290	1.8880959704706537
2023.06.29	18:00:00	1.08888	1.08959	1.08781	1.08797	4433	1.9000632211158346
2023.06.29	19:00:00	1.08796	1.08829	1.08681	1.08701	2488	1.9279051383399464
2023.06.29	20:00:00	1.087	1.08743	1.08676	1.08716	2223	1.8943189368769673
2023.06.29	21:00:00	1.08716	1.08719	1.08648	1.08663	1974	1.9173135335808438
2023.06.29	22:00:00	1.08663	1.08713	1.08659	1.08683	1781	1.9128195488721838
2023.06.29	23:00:00	1.08684	1.08687	1.08632	1.08647	491	1.8908022130014195
2023.06.30	00:00:00	1.08642	1.0865	1.08617	1.08622	176	4.466108786610714
2023.06.30	01:00:00	1.08621	1.08663	1.08619	1.0865	357	1.9661147902868519
2023.06.30	02:00:00	1.0865	1.08673	1.08637	1.08667	685	1.8766637089618456
2023.06.30	03:00:00	1.08667	1.08733	1.08627	1.08715	2175	1.9076296054776327
2023.06.30	04:00:00	1.08714	1.08747	1.08596	1.0861	2773	1.8861240500122678
2023.06.30	05:00:00	1.08609	1.08708	1.08606	1.08657	2158	1.900543970988158
2023.06.30	06:00:00	1.08658	1.08743	1.08651	1.08706	2001	1.8997521246457434
2023.06.30	07:00:00	1.08707	1.0873	1.08674	1.08691	1415	1.9106091370558071
2023.06.30	08:00:00	1.0869	1.08747	1.08662	1.08691	1876	1.88826040554957
2023.06.30	09:00:00	1.0869	1.0869	1.08561	1.08634	3711	1.8892361111110823
2023.06.30	10:00:00	1.08633	1.08685	1.08527	1.08557	4300	1.9067137809187054
2023.06.30	11:00:00	1.08558	1.0856	1.08343	1.08383	3755	1.892914943355465
2023.06.30	12:00:00	1.08382	1.08485	1.08351	1.0845	3232	1.8987279625083315
